https://www.kinopoisk.ru/film/tayna-koko-2017-679486/	7.19	Zholkovskiy
https://www.kinopoisk.ru/film/proshchay-kristofer-robin-2017-993579/	7.53	Zholkovskiy
https://www.kinopoisk.ru/film/chastnoe-pionerskoe-3-privet-vzroslaya-zhizn-2017-909664/	6.82	Zholkovskiy
https://www.kinopoisk.ru/film/obet-molchaniya-2017-1009473/	6.72	Zholkovskiy
https://www.kinopoisk.ru/film/detki-naprokat-2017-1047968/	6.28	Zholkovskiy
https://www.kinopoisk.ru/film/mister-felichita-2017-1026440/	7.11	Zholkovskiy
https://www.kinopoisk.ru/film/legenda-o-kolovrate-2017-844118/	6.52	Zholkovskiy
https://www.kinopoisk.ru/film/inostranets-2017-618287/	7.02	Zholkovskiy
https://www.kinopoisk.ru/film/maksimalnyy-udar-2017-917942/	6.24	Zholkovskiy
https://www.kinopoisk.ru/film/atlantida-2017-678639/	7.47	Zholkovskiy
https://www.kinopoisk.ru/film/konvert-2017-981348/	6.92	Zholkovskiy
